amendment	plant_code	plant_species	tissue	dryweight
BSFFF	C	Brassica napus	root	0.0026
BSFFF	C	Brassica napus	root	0.0073
BSFFF	C	Brassica napus	root	0.0029
BSFFF	C	Brassica napus	root	0.0035
BSFFF	C	Brassica napus	root	0.0054
BSFFF	C	Brassica napus	root	0.0026
BSFFF	C	Brassica napus	root	0.0017
BSFFF	C	Brassica napus	root	0.0106
BSFFF	D	B. oleracea var gemmifera	root	0.0048
BSFFF	D	B. oleracea var gemmifera	root	0.0036
BSFFF	D	B. oleracea var gemmifera	root	0.0025
BSFFF	D	B. oleracea var gemmifera	root	0.0016
BSFFF	D	B. oleracea var gemmifera	root	0.007
BSFFF	D	B. oleracea var gemmifera	root	0.0025
BSFFF	D	B. oleracea var gemmifera	root	0.0092
BSFFF	D	B. oleracea var gemmifera	root	0.0016
BSFFF	D	B. oleracea var gemmifera	root	0.008
BSFFF	D	B. oleracea var gemmifera	root	0.0044
BSFFF	D	B. oleracea var gemmifera	root	0.0051
BSFFF	D	B. oleracea var gemmifera	root	0.0025
BSFFF	D	B. oleracea var gemmifera	root	0.0076
BSFFF	D	B. oleracea var gemmifera	root	0.009
BSFFF	D	B. oleracea var gemmifera	root	0.005
BSFFF	D	B. oleracea var gemmifera	root	0.004
BSFFF	D	B. oleracea var gemmifera	root	0.005
BSFFF	D	B. oleracea var gemmifera	root	0.0053
BSFFF	D	B. oleracea var gemmifera	root	0.008
BSFFF	D	B. oleracea var gemmifera	root	0.0049
BSFFF	D	B. oleracea var gemmifera	root	0.0043
BSFFF	D	B. oleracea var gemmifera	root	0.0047
BSFFF	D	B. oleracea var gemmifera	root	0.0075
BSFFF	D	B. oleracea var gemmifera	root	0.0039
BSFFF	D	B. oleracea var gemmifera	root	0.0072
BSFFF	D	B. oleracea var gemmifera	root	0.0076
BSFFF	D	B. oleracea var gemmifera	root	0.0037
BSFFF	D	B. oleracea var gemmifera	root	0.003
BSFFF	D	B. oleracea var gemmifera	root	0.0022
BSFFF	E	Cucurbita maxima	root	0.0258
BSFFF	E	Cucurbita maxima	root	0.039
BSFFF	E	Cucurbita maxima	root	0.0269
BSFFF	E	Cucurbita maxima	root	0.0477
BSFFF	E	Cucurbita maxima	root	0.0255
BSFFF	E	Cucurbita maxima	root	0.0344
BSFFF	E	Cucurbita maxima	root	0.0709
BSFFF	E	Cucurbita maxima	root	0.0232
BSFFF	E	Cucurbita maxima	root	0.0394
BSFFF	E	Cucurbita maxima	root	0.0458
BSFFF	E	Cucurbita maxima	root	0.0337
BSFFF	E	Cucurbita maxima	root	0.03
BSFFF	E	Cucurbita maxima	root	0.0356
BSFFF	E	Cucurbita maxima	root	0.0273
BSFFF	E	Cucurbita maxima	root	0.0439
BSFFF	E	Cucurbita maxima	root	0.0355
BSFFF	E	Cucurbita maxima	root	0.0515
BSFFF	E	Cucurbita maxima	root	0.0213
BSFFF	E	Cucurbita maxima	root	0.0379
BSFFF	E	Cucurbita maxima	root	0.0275
BSFFF	E	Cucurbita maxima	root	0.0298
BSFFF	E	Cucurbita maxima	root	0.036
BSFFF	E	Cucurbita maxima	root	0.0309
BSFFF	E	Cucurbita maxima	root	0.0404
BSFFF	E	Cucurbita maxima	root	0.0319
BSFFF	E	Cucurbita maxima	root	0.0369
BSFFF	E	Cucurbita maxima	root	0.024
BSFFF	E	Cucurbita maxima	root	0.0175
BSFFF	E	Cucurbita maxima	root	0.0221
BSFFF	F	Raphanus sativus	root	0.0047
BSFFF	F	Raphanus sativus	root	0.0053
BSFFF	F	Raphanus sativus	root	0.0041
BSFFF	F	Raphanus sativus	root	0.0049
BSFFF	F	Raphanus sativus	root	0.0066
BSFFF	F	Raphanus sativus	root	0.0076
BSFFF	F	Raphanus sativus	root	0.0064
BSFFF	F	Raphanus sativus	root	0.006
BSFFF	F	Raphanus sativus	root	0.008
BSFFF	F	Raphanus sativus	root	0.0076
BSFFF	F	Raphanus sativus	root	0.0051
BSFFF	F	Raphanus sativus	root	0.0084
BSFFF	F	Raphanus sativus	root	0.0036
BSFFF	F	Raphanus sativus	root	0.0047
BSFFF	F	Raphanus sativus	root	0.0082
BSFFF	F	Raphanus sativus	root	0.0044
BSFFF	F	Raphanus sativus	root	0.0068
BSFFF	F	Raphanus sativus	root	0.0074
BSFFF	F	Raphanus sativus	root	0.0132
BSFFF	F	Raphanus sativus	root	0.0101
BSFFF	F	Raphanus sativus	root	0.0091
BSFFF	F	Raphanus sativus	root	0.009
BSFFF	F	Raphanus sativus	root	0.0101
BSFFF	F	Raphanus sativus	root	0.0055
BSFFF	F	Raphanus sativus	root	0.0031
BSFFF	F	Raphanus sativus	root	0.0053
BSFFF	F	Raphanus sativus	root	0.0062
BSFFF	G	Beta vulgaris	root	0.002
BSFFF	G	Beta vulgaris	root	0.0015
BSFFF	G	Beta vulgaris	root	0.003
BSFFF	G	Beta vulgaris	root	0.0027
BSFFF	G	Beta vulgaris	root	0.0041
BSFFF	G	Beta vulgaris	root	0.0017
BSFFF	G	Beta vulgaris	root	0.0013
BSFFF	G	Beta vulgaris	root	0.0022
BSFFF	G	Beta vulgaris	root	0.0008
BSFFF	G	Beta vulgaris	root	0.0037
BSFFF	G	Beta vulgaris	root	0.001
BSFFF	G	Beta vulgaris	root	0.0027
BSFFF	G	Beta vulgaris	root	0.0044
BSFFF	G	Beta vulgaris	root	0.0009
BSFFF	G	Beta vulgaris	root	0.0022
BSFFF	G	Beta vulgaris	root	0.0016
BSFFF	G	Beta vulgaris	root	0.002
BSFFF	G	Beta vulgaris	root	0.0031
BSFFF	G	Beta vulgaris	root	0.0019
BSFFF	G	Beta vulgaris	root	0.0027
BSFFF	G	Beta vulgaris	root	0.0011
BSFFF	G	Beta vulgaris	root	0.0012
BSFFF	G	Beta vulgaris	root	0.0022
BSFFF	G	Beta vulgaris	root	0.0003
BSFFF	G	Beta vulgaris	root	0.003
BSFFF	G	Beta vulgaris	root	0.0021
BSFFF	G	Beta vulgaris	root	0.0021
BSFFF	G	Beta vulgaris	root	0.0024
BSFFF	G	Beta vulgaris	root	0.0015
BSFFF	G	Beta vulgaris	root	0.0006
BSFFF	G	Beta vulgaris	root	0.0023
